filename,project_id,counterparty,exec_date,doc_type,parent_dir,year_bucket,src_path,size_bytes,normalized_filename
Sun E Torrance_Executed Final.pdf,,Sun E Torrance Executed,,OTHER,,2013,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013__Sun E Torrance_Executed Final.pdf,1508436,NA_Sun_E_Torrance_Executed_OTHER_v1.pdf
6118 - Windpower Partners 1993 - Amendment 2.pdf,6118,Windpower Partners 1993    2,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6118 - Windpower Partners 1993 - Amendment 2.pdf,94959,6118_Windpower_Partners_1993_2_AMENDMENT.pdf
1095 Amended and Restated Simi Valley PPA 05-10-06.pdf,1095,1095  and  Simi Valley,2006-05-10,AMENDMENT_AND_RESTATED,,2007-2012,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2007-2012__1095 Amended and Restated Simi Valley PPA 05-10-06.pdf,4307527,1095_1095_and_Simi_Valley_2006-05-10_AMENDMENT_AND_RESTATED.pdf
1221 - Ventura Regional Sanitation District.pdf,1221,Ventura Regional Sanitation District,,OTHER,,2007-2012,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2007-2012__1221 - Ventura Regional Sanitation District.pdf,6126228,1221_Ventura_Regional_Sanitation_District_OTHER.pdf
RE Yakima.pdf,,RE Yakima,,OTHER,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__RE Yakima.pdf,2143983,NA_RE_Yakima_OTHER_v1.pdf
Confidential - market sensitive pursuant to D.06-06-066_4352_PPA_Calleguas Municipal Water District_Santa Rosa Hydro.pdf,4352,PPA Calleguas Municipal Water District Santa Rosa Hydro,,OTHER,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Confidential - market sensitive pursuant to D.06-06-066_4352_PPA_Calleguas Municipal Water District_Santa Rosa Hydro.pdf,960263,4352_PPA_Calleguas_Municipal_Water_District_Santa_Rosa_Hydro_OTHER.pdf
Confidential - market sensitive pursuant to D.06-06-066_4316_WalnutValleyWaterDistrict_PPA.pdf,4316,WalnutValleyWaterDistrict PPA,,OTHER,,2016-2017,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2016-2017__Confidential - market sensitive pursuant to D.06-06-066_4316_WalnutValleyWaterDistrict_PPA.pdf,1800450,4316_WalnutValleyWaterDistrict_PPA_OTHER.pdf
5233 - Sierra SunTower - Power Purchase and Sale Agreement.pdf,5233,Sierra SunTower   Power Purchase and Sale Agreement,,PPA,,2007-2012,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2007-2012__5233 - Sierra SunTower - Power Purchase and Sale Agreement.pdf,895735,5233_Sierra_SunTower_Power_Purchase_and_Sale_Agreement_PPA.pdf
"2014-07-29, Geysers Power Plant, PPA.pdf",2014,07 29  Geysers Power Plant,,PPA,,2013-2015,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__2014-07-29, Geysers Power Plant, PPA.pdf",2308126,2014_07_29_Geysers_Power_Plant_PPA.pdf
6118 - Windpower Partners 1993 - Amendment 3.pdf,6118,Windpower Partners 1993    3,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6118 - Windpower Partners 1993 - Amendment 3.pdf,32595,6118_Windpower_Partners_1993_3_AMENDMENT.pdf
Confidential - market sensitive pursuant to D.06-06-066_5629 FTS Master Tenant 2 SEPV18 project_App E Amendment - execute~1.pdf,5629,FTS Master Tenant 2 SEPV18 project App E    execute~1,,AMENDMENT,,2013-2015,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2013-2015__Confidential - market sensitive pursuant to D.06-06-066_5629 FTS Master Tenant 2 SEPV18 project_App E Amendment - execute~1.pdf,2563328,5629_FTS_Master_Tenant_2_SEPV18_project_App_E_execute_1_AMENDMENT.pdf
"Adelanto Solar II, LLC_Executed Final.pdf",,Adelanto Solar II  LLC Executed,,OTHER,,2007-2012,"/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2007-2012__Adelanto Solar II, LLC_Executed Final.pdf",2086331,NA_Adelanto_Solar_II_LLC_Executed_OTHER.pdf
6118 - Windpower Partners 1993 - Amendment 1.pdf,6118,Windpower Partners 1993    1,,AMENDMENT,,1985-1989,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/1985-1989__6118 - Windpower Partners 1993 - Amendment 1.pdf,84654,6118_Windpower_Partners_1993_1_AMENDMENT.pdf
6316 Alta Wind III PPA.pdf,6316,6316 Alta Wind III,,PPA,,2002-2006,/Users/rraman/Documents/epm_sce_chatbot/data/sce_real/pdfs/2002-2006__6316 Alta Wind III PPA.pdf,1612160,6316_6316_Alta_Wind_III_PPA.pdf
